s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m
Time,"TC_RoomV-1","TC_RoomV-2","TC_RoomV-3","TC_RoomV-4","TC_RoomV-5","TC_RoomV-6","TC_RoomV-7","TC_RoomV-8","TC_RoomV-9","TC_RoomV-10","TC_RoomV-11","TC_RoomV-12","TC_RoomV-13","TC_RoomV-14","TC_RoomV-15","TC_RoomV-16","TC_RoomV-17","TC_RoomV-18","TC_RoomV-19","TC_RoomV-20","TC_RoomV-21","TC_RoomV-22","TC_RoomV-23","TC_RoomV-24","TC_RoomV-25","TC_RoomV-26","TC_RoomV-27","TC_RoomV-28","TC_RoomV-29","TC_RoomV-30","TC_RoomV-31","TC_RoomV-32","TC_RoomV-33","TC_RoomV-34","TC_RoomV-35","TC_RoomV-36","TC_RoomV-37","TC_RoomV-38","TC_RoomV-39","TC_RoomV-40","TC_RoomV-41","TC_RoomV-42","TC_RoomV-43","TC_RoomV-44","HGL Temp","HGL Height"
 0.000E+00, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.130E+00
 1.008E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.201E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.130E+00
 2.007E+01, 2.214E+01, 2.214E+01, 2.208E+01, 2.208E+01, 2.209E+01, 2.209E+01, 2.209E+01, 2.209E+01, 2.208E+01, 2.208E+01, 2.207E+01, 2.207E+01, 2.206E+01, 2.206E+01, 2.205E+01, 2.205E+01, 2.205E+01, 2.205E+01, 2.204E+01, 2.204E+01, 2.204E+01, 2.204E+01, 2.204E+01, 2.204E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.202E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.130E+00
 3.006E+01, 2.233E+01, 2.233E+01, 2.216E+01, 2.216E+01, 2.218E+01, 2.218E+01, 2.219E+01, 2.219E+01, 2.220E+01, 2.220E+01, 2.215E+01, 2.215E+01, 2.214E+01, 2.214E+01, 2.212E+01, 2.212E+01, 2.211E+01, 2.211E+01, 2.211E+01, 2.211E+01, 2.210E+01, 2.210E+01, 2.209E+01, 2.209E+01, 2.209E+01, 2.209E+01, 2.208E+01, 2.208E+01, 2.208E+01, 2.208E+01, 2.207E+01, 2.207E+01, 2.208E+01, 2.208E+01, 2.235E+01, 2.235E+01, 2.377E+01, 2.377E+01, 2.641E+01, 2.641E+01, 2.890E+01, 2.890E+01, 3.263E+01, 3.263E+01, 3.324E+01, 2.005E+00
 4.007E+01, 2.255E+01, 2.255E+01, 2.226E+01, 2.226E+01, 2.231E+01, 2.231E+01, 2.234E+01, 2.234E+01, 2.238E+01, 2.238E+01, 2.228E+01, 2.228E+01, 2.225E+01, 2.225E+01, 2.222E+01, 2.222E+01, 2.223E+01, 2.223E+01, 2.222E+01, 2.222E+01, 2.222E+01, 2.222E+01, 2.226E+01, 2.226E+01, 2.266E+01, 2.266E+01, 2.407E+01, 2.407E+01, 2.666E+01, 2.666E+01, 2.949E+01, 2.949E+01, 3.160E+01, 3.160E+01, 3.232E+01, 3.232E+01, 3.118E+01, 3.118E+01, 3.257E+01, 3.257E+01, 3.729E+01, 3.729E+01, 4.401E+01, 4.401E+01, 4.833E+01, 1.714E+00
 5.005E+01, 2.276E+01, 2.276E+01, 2.237E+01, 2.237E+01, 2.247E+01, 2.247E+01, 2.255E+01, 2.255E+01, 2.266E+01, 2.266E+01, 2.253E+01, 2.253E+01, 2.249E+01, 2.249E+01, 2.247E+01, 2.247E+01, 2.265E+01, 2.265E+01, 2.342E+01, 2.342E+01, 2.511E+01, 2.511E+01, 2.718E+01, 2.718E+01, 2.887E+01, 2.887E+01, 2.875E+01, 2.875E+01, 2.729E+01, 2.729E+01, 2.623E+01, 2.623E+01, 2.824E+01, 2.824E+01, 3.499E+01, 3.499E+01, 4.336E+01, 4.336E+01, 4.631E+01, 4.631E+01, 4.470E+01, 4.470E+01, 5.189E+01, 5.189E+01, 4.930E+01, 1.064E+00
 6.003E+01, 2.297E+01, 2.297E+01, 2.251E+01, 2.251E+01, 2.266E+01, 2.266E+01, 2.285E+01, 2.285E+01, 2.315E+01, 2.315E+01, 2.347E+01, 2.347E+01, 2.455E+01, 2.455E+01, 2.613E+01, 2.613E+01, 2.773E+01, 2.773E+01, 2.853E+01, 2.853E+01, 2.829E+01, 2.829E+01, 2.712E+01, 2.712E+01, 2.477E+01, 2.477E+01, 2.559E+01, 2.559E+01, 3.058E+01, 3.058E+01, 3.657E+01, 3.657E+01, 4.041E+01, 4.041E+01, 3.951E+01, 3.951E+01, 3.725E+01, 3.725E+01, 4.145E+01, 4.145E+01, 4.796E+01, 4.796E+01, 5.653E+01, 5.653E+01, 5.083E+01, 8.439E-01
 7.001E+01, 2.317E+01, 2.317E+01, 2.264E+01, 2.264E+01, 2.294E+01, 2.294E+01, 2.375E+01, 2.375E+01, 2.526E+01, 2.526E+01, 2.635E+01, 2.635E+01, 2.719E+01, 2.719E+01, 2.765E+01, 2.765E+01, 2.730E+01, 2.730E+01, 2.634E+01, 2.634E+01, 2.481E+01, 2.481E+01, 2.425E+01, 2.425E+01, 2.945E+01, 2.945E+01, 3.875E+01, 3.875E+01, 4.417E+01, 4.417E+01, 4.099E+01, 4.099E+01, 4.094E+01, 4.094E+01, 4.252E+01, 4.252E+01, 4.324E+01, 4.324E+01, 4.640E+01, 4.640E+01, 5.360E+01, 5.360E+01, 5.876E+01, 5.876E+01, 5.275E+01, 7.992E-01
 8.012E+01, 2.337E+01, 2.337E+01, 2.277E+01, 2.277E+01, 2.345E+01, 2.345E+01, 2.514E+01, 2.514E+01, 2.570E+01, 2.570E+01, 2.597E+01, 2.597E+01, 2.684E+01, 2.684E+01, 2.668E+01, 2.668E+01, 2.544E+01, 2.544E+01, 2.404E+01, 2.404E+01, 2.380E+01, 2.380E+01, 2.704E+01, 2.704E+01, 3.675E+01, 3.675E+01, 4.698E+01, 4.698E+01, 4.623E+01, 4.623E+01, 4.382E+01, 4.382E+01, 4.652E+01, 4.652E+01, 4.801E+01, 4.801E+01, 5.411E+01, 5.411E+01, 5.810E+01, 5.810E+01, 5.900E+01, 5.900E+01, 6.217E+01, 6.217E+01, 5.461E+01, 8.517E-01
 9.014E+01, 2.364E+01, 2.364E+01, 2.290E+01, 2.290E+01, 2.350E+01, 2.350E+01, 2.488E+01, 2.488E+01, 2.470E+01, 2.470E+01, 2.496E+01, 2.496E+01, 2.579E+01, 2.579E+01, 2.542E+01, 2.542E+01, 2.448E+01, 2.448E+01, 2.404E+01, 2.404E+01, 2.469E+01, 2.469E+01, 3.089E+01, 3.089E+01, 4.575E+01, 4.575E+01, 5.293E+01, 5.293E+01, 5.195E+01, 5.195E+01, 5.737E+01, 5.737E+01, 6.005E+01, 6.005E+01, 5.985E+01, 5.985E+01, 5.920E+01, 5.920E+01, 6.108E+01, 6.108E+01, 6.611E+01, 6.611E+01, 6.995E+01, 6.995E+01, 5.597E+01, 1.052E+00
 1.000E+02, 2.397E+01, 2.397E+01, 2.310E+01, 2.310E+01, 2.323E+01, 2.323E+01, 2.419E+01, 2.419E+01, 2.409E+01, 2.409E+01, 2.402E+01, 2.402E+01, 2.441E+01, 2.441E+01, 2.483E+01, 2.483E+01, 2.494E+01, 2.494E+01, 2.537E+01, 2.537E+01, 2.734E+01, 2.734E+01, 3.509E+01, 3.509E+01, 5.079E+01, 5.079E+01, 5.727E+01, 5.727E+01, 6.130E+01, 6.130E+01, 6.008E+01, 6.008E+01, 5.793E+01, 5.793E+01, 5.802E+01, 5.802E+01, 6.157E+01, 6.157E+01, 6.559E+01, 6.559E+01, 6.957E+01, 6.957E+01, 7.551E+01, 7.551E+01, 5.838E+01, 1.205E+00
